181,"S.A.S. College, Vijayawada","Acharya Nagarjuna University, Guntur"
182,"S.B.M.S. College, Guntur","Acharya Nagarjuna University, Guntur"
183,"S.D.M. Siddhartha College for Women, Vijayawada","Acharya Nagarjuna University, Guntur"
184,"S.G.H.R. and M.C.M.R. College, Guntur","Acharya Nagarjuna University, Guntur"
185,"S.G.S. Degree College, Jaggayapeta","Acharya Nagarjuna University, Guntur"
186,"S.G.T. and J.V.B. College, Guntur","Acharya Nagarjuna University, Guntur"
187,"S.I.M.S. College of Life Sciences, Guntur","Acharya Nagarjuna University, Guntur"
188,"S.K.R. Degree College, Krishna","Acharya Nagarjuna University, Guntur"
189,"S.K.S.V.R. Women's Degree College, Guntur","Acharya Nagarjuna University, Guntur"
190,"S.M.P.A. Degree College, Guntur","Acharya Nagarjuna University, Guntur"
191,"S.M.R. and S.G.R. College, Krishna","Acharya Nagarjuna University, Guntur"
192,"S.N.B.T.M. Co-Education College, Guntur","Acharya Nagarjuna University, Guntur"
193,"S.P. Mahila Kalasala, Krishna","Acharya Nagarjuna University, Guntur"
194,"S.R.I.J.I. College, Ongole","Acharya Nagarjuna University, Guntur"
195,"S.S.N. Degree College, Guntur","Acharya Nagarjuna University, Guntur"
196,"S.S.N. Degree College, Podili","Acharya Nagarjuna University, Guntur"
197,"S.V.A.S. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
198,"S.V.B.S. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
199,"S.V.K.P. College, Markapur","Acharya Nagarjuna University, Guntur"
200,"S.V.K.P. College, Podili","Acharya Nagarjuna University, Guntur"
201,"S.V.K.P. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
202,"S.V.L. Kranthi Degree College, Krishna","Acharya Nagarjuna University, Guntur"
203,"S.V.R.M. College, Guntur","Acharya Nagarjuna University, Guntur"
204,"Sadhana Degree College, Repalli","Acharya Nagarjuna University, Guntur"
205,"Sadineni Chowdaraiah College, Chilakaluripeta","Acharya Nagarjuna University, Guntur"
